时间,最低温度,最高温度,湿度,风向,风力,紫外线,空气质量
2020/4/19,13,22,39,西南风,3,弱,47
2020/4/20,7,17,29,西北风,4,强,31
2020/4/21,4,14,22,西北风,4,强,53
2020/4/22,4,16,18,西北风,4,强,28
2020/4/23,6,19,15,西北风,3,强,29
2020/4/24,6,28,17,西风,3,强,185
2020/4/25,12,22,35,北风,3,强,32
2020/4/26,9,22,52,东北风,2,强,36
2020/4/27,7,24,33,南风,2,强,61
2020/4/28,11,29,44,西南风,2,强,114
2020/4/29,16,31,49,南风,2,强,127
2020/4/30,15,33,63,南风,2,强,141
2020/5/1,17,35,56,南风,2,强,160
2020/5/2,21,33,72,南风,3,强,105
2020/5/3,17,31,92,东风,3,强,101
2020/5/4,13,20,89,南风,3,最弱,36
2020/5/5,10,26,83,南风,2,强,114
2020/5/6,13,25,46,东南风,2,弱,118
2020/5/7,13,19,92,东南风,2,最弱,132
2020/5/8,13,17,75,东风,2,最弱,39
2020/5/9,11,20,93,西南风,2,最弱,66
2020/5/10,13,25,28,西北风,3,强,30
2020/5/11,14,28,28,西北风,4,强,395
2020/5/12,13,28,41,西风,3,强,106
2020/5/13,12,30,53,南风,2,强,134
2020/5/14,18,30,61,南风,3,强,103
2020/5/15,15,25,66,东南风,2,最弱,41
2020/5/16,15,28,54,东风,2,最弱,71
2020/5/17,13,23,28,西北风,2,弱,27
2020/5/18,14,27,22,北风,3,强,89
2020/5/19,15,29,45,西风,2,强,52
2020/5/20,15,29,60,东北风,2,中等,115
2020/5/21,16,23,93,东风,2,最弱,101
2020/5/22,15,30,38,西北风,3,强,50
2020/5/23,16,27,41,北风,3,中等,30
2020/5/24,16,29,36,西北风,2,强,40
2020/5/25,17,25,71,北风,2,最弱,39
2020/5/26,13,28,35,西风,2,强,42
2020/5/27,16,29,59,西北风,3,强,65
2020/5/28,16,32,58,南风,3,中等,105
2020/5/29,17,33,68,东风,2,最弱,121
2020/5/30,19,30,86,南风,3,中等,74
2020/5/31,17,28,52,西北风,3,强,34
2020/6/1,16,30,82,西南风,3,强,102
2020/6/2,16,32,30,西南风,2,强,77
2020/6/3,21,33,30,西北风,3,强,136
2020/6/4,20,29,45,东风,3,强,67
2020/6/5,18,29,45,东南风,2,强,29
2020/6/6,18,28,40,东南风,2,强,34
2020/6/7,20,35,71,南风,2,中等,119
2020/6/8,25,38,41,西南风,3,最弱,83
2020/6/9,23,30,75,东风,2,最弱,84
2020/6/10,21,33,54,西北风,2,强,78
2020/6/11,21,29,71,北风,2,最弱,47
2020/6/12,22,32,51,南风,2,最弱,113
2020/6/13,24,34,25,西北风,2,最弱,28
2020/6/14,23,35,26,西北风,3,强,66
2020/6/15,22,37,27,西风,2,强,69
2020/6/16,22,35,44,南风,3,最弱,134
2020/6/17,24,30,53,西南风,4,最弱,69
2020/6/18,20,33,83,西南风,2,中等,33
2020/6/19,22,34,40,西南风,3,强,58
2020/6/20,24,34,51,南风,3,弱,87
2020/6/21,25,35,55,南风,3,强,77
2020/6/22,25,34,55,南风,3,最弱,64
2020/6/23,23,33,66,东南风,3,最弱,20
2020/6/24,21,31,90,南风,2,强,23
2020/6/25,20,25,91,南风,2,最弱,37
2020/6/26,20,27,62,南风,2,最弱,75
2020/6/27,21,30,72,东南风,2,强,105
2020/6/28,22,29,64,南风,2,弱,58
2020/6/29,23,29,63,东北风,2,最弱,30
2020/6/30,23,30,44,北风,2,最弱,36
2020/7/1,23,30,66,东风,2,最弱,47
2020/7/2,23,26,69,东北风,3,最弱,51
2020/7/3,22,23,76,东风,2,最弱,36
2020/7/4,21,29,75,西南风,2,最弱,81
2020/7/5,22,30,84,北风,2,最弱,33
2020/7/6,22,30,64,东风,2,弱,27
2020/7/7,22,33,58,东北风,2,强,73
2020/7/8,22,32,53,南风,2,强,56
2020/7/9,19,26,93,东南风,2,最弱,54
2020/7/10,21,28,92,东南风,2,弱,87
2020/7/11,21,26,87,东南风,2,最弱,168
2020/7/12,22,26,73,东南风,2,最弱,60
2020/7/13,23,29,80,南风,2,最弱,46
2020/7/14,22,30,72,西南风,2,强,66
2020/7/15,22,32,54,西南风,2,强,52
2020/7/16,23,33,57,西南风,3,强,44
2020/7/17,22,31,95,西南风,3,最弱,79
2020/7/18,23,29,91,东风,2,最弱,49
2020/7/19,23,32,75,东北风,2,中等,49
2020/7/20,21,34,51,南风,2,强,52
2020/7/21,24,33,47,南风,3,最弱,51
2020/7/22,22,33,51,东南风,2,弱,50
2020/7/23,22,33,53,东南风,2,强,37
2020/7/24,22,36,45,西风,2,中等,43
2020/7/25,24,34,59,西南风,2,最弱,79
2020/7/26,22,29,92,南风,2,最弱,50
2020/7/27,21,24,97,东南风,2,最弱,97
2020/7/28,22,29,93,东南风,2,弱,44
2020/7/29,22,30,83,南风,2,中等,94
2020/7/30,25,32,62,南风,3,最弱,51
2020/7/31,23,32,96,南风,2,强,47
2020/8/1,25,31,67,南风,2,最弱,31
2020/8/2,24,31,84,南风,2,强,42
2020/8/3,22,33,63,西北风,2,强,54
2020/8/4,24,35,62,西北风,2,弱,66
2020/8/5,25,30,95,南风,2,最弱,43
2020/8/6,24,31,82,南风,2,最弱,23
2020/8/7,24,30,63,东南风,2,弱,34
2020/8/8,23,31,72,南风,2,中等,47
2020/8/9,21,32,94,南风,2,强,46
2020/8/10,23,30,75,西南风,2,强,43
2020/8/11,23,33,70,西南风,2,强,66
2020/8/12,22,30,98,东南风,3,最弱,23
2020/8/13,24,33,84,南风,2,最弱,48
2020/8/14,23,33,70,南风,2,强,53
2020/8/15,24,31,87,南风,2,最弱,46
2020/8/16,22,26,87,南风,2,最弱,52
2020/8/17,21,28,94,南风,2,最弱,89
2020/8/18,22,29,76,北风,3,最弱,20
2020/8/19,21,26,86,东北风,2,最弱,24
2020/8/20,19,27,65,南风,2,最弱,27
2020/8/21,17,28,62,南风,2,强,50
2020/8/22,17,28,72,南风,2,弱,50
2020/8/23,19,28,97,南风,2,最弱,92
2020/8/24,22,31,84,西北风,3,最弱,32
2020/8/25,20,33,82,东南风,2,最弱,48
2020/8/26,22,29,83,东风,2,最弱,64
2020/8/27,22,32,61,东南风,2,强,33
2020/8/28,19,30,72,南风,2,强,58
2020/8/29,22,30,76,东南风,2,强,74
2020/8/30,23,30,74,东南风,2,最弱,46
2020/8/31,20,26,91,西北风,2,最弱,29
2020/9/1,18,32,74,西北风,2,强,20
2020/9/2,20,29,39,北风,3,弱,18
2020/9/3,17,28,77,西北风,3,强,20
2020/9/4,20,31,47,西南风,2,最弱,47
2020/9/5,19,29,66,东南风,2,弱,52
2020/9/6,19,30,77,东南风,2,最弱,65
2020/9/7,20,30,58,东北风,2,强,22
2020/9/8,20,31,41,西北风,2,强,17
2020/9/9,18,30,64,西北风,2,强,43
2020/9/10,18,26,62,北风,3,最弱,15
2020/9/11,20,22,62,北风,2,最弱,11
2020/9/12,18,25,63,东北风,2,最弱,31
2020/9/13,20,26,71,南风,2,弱,53
2020/9/14,20,26,89,南风,2,最弱,60
2020/9/15,17,23,94,东南风,2,最弱,24
2020/9/16,17,25,31,西北风,4,强,15
2020/9/17,16,27,72,西北风,3,强,27
2020/9/18,17,27,54,西北风,2,强,43
2020/9/19,17,30,62,东北风,2,强,58
2020/9/20,18,27,68,东南风,2,强,51
2020/9/21,17,28,71,南风,2,强,79
2020/9/22,17,26,76,东北风,2,中等,65
2020/9/23,16,17,88,东北风,2,最弱,54
2020/9/24,14,22,91,东风,2,强,43
2020/9/25,17,26,89,东南风,2,最弱,52
2020/9/26,17,27,56,南风,2,强,85
2020/9/27,17,27,73,南风,2,强,61
2020/9/28,16,24,79,南风,2,中等,94
2020/9/29,14,20,84,东北风,3,最弱,17
2020/9/30,13,22,67,南风,2,强,43
2020/10/1,13,20,26,南风,2,最弱,62
2020/10/2,12,21,68,西北风,3,强,32
2020/10/3,13,23,30,西风,3,强,47
2020/10/4,10,18,30,西北风,4,强,18
2020/10/5,10,20,61,西北风,2,强,45
2020/10/6,11,21,52,西南风,2,强,67
2020/10/7,9,21,80,南风,2,强,65
2020/10/8,13,22,78,南风,2,最弱,95
2020/10/9,11,22,91,南风,2,中等,161
2020/10/10,13,22,67,南风,2,最弱,137
2020/10/11,6,18,32,北风,3,最弱,18
2020/10/12,10,19,45,西风,2,强,48
2020/10/13,7,20,28,北风,3,强,34
2020/10/14,6,13,66,东南风,2,最弱,45
2020/10/15,11,14,96,西南风,2,最弱,30
2020/10/16,4,19,33,西北风,3,强,29
2020/10/17,10,22,54,西南风,2,强,55
2020/10/18,5,21,79,东北风,2,强,89
2020/10/19,7,21,79,南风,2,强,134
2020/10/20,8,17,83,南风,2,弱,201
2020/10/21,2,17,62,西北风,4,强,98
2020/10/22,6,15,22,北风,3,强,26
2020/10/23,4,17,44,西北风,2,强,51
2020/10/24,8,19,65,西南风,1,强,109
2020/10/25,6,19,78,东北风,1,弱,136
2020/10/26,8,22,16,北风,2,中等,51
2020/10/27,6,16,33,北风,2,最弱,53
2020/10/28,6,19,54,北风,2,最弱,54
2020/10/29,4,18,76,西风,1,最弱,69
2020/10/30,9,18,54,南风,2,强,74
2020/10/31,6,19,64,西北风,3,强,127
2020/11/1,6,17,33,西北风,3,强,27
2020/11/2,1,12,39,西北风,3,强,43
2020/11/3,0,14,51,西风,2,强,61
2020/11/4,4,14,73,北风,1,强,87
2020/11/5,4,16,77,东北风,1,最弱,207
2020/11/6,6,17,58,西北风,2,强,73
2020/11/7,2,18,18,西北风,3,强,32
2020/11/8,2,13,50,西风,2,强,64
2020/11/9,3,16,64,西北风,2,强,61
2020/11/10,2,17,68,东北风,1,强,97
2020/11/11,5,14,85,东北风,1,最弱,215
2020/11/12,4,19,30,北风,2,强,37
2020/11/13,4,15,68,东风,2,强,52
2020/11/14,4,11,90,东南风,1,最弱,84
2020/11/15,5,14,87,北风,1,最弱,145
2020/11/16,9,11,70,东风,1,中等,95
2020/11/17,8,10,94,东北风,2,最弱,181
2020/11/18,6,11,70,北风,3,最弱,11
2020/11/19,-2,9,39,北风,3,弱,17
2020/11/20,-1,8,53,东北风,2,强,27
2020/11/21,-1,3,81,东北风,1,最弱,34
2020/11/22,-3,3,35,西北风,3,强,20
2020/11/23,-2,5,65,西北风,2,强,49
2020/11/24,-3,8,75,西北风,1,中等,77
2020/11/25,-3,7,43,北风,2,强,20
2020/11/26,-3,5,74,东南风,1,强,46
2020/11/27,-3,5,38,北风,3,强,26
2020/11/28,-4,3,53,北风,2,最弱,51
2020/11/29,-3,5,33,西北风,2,强,23
2020/11/30,-5,4,45,北风,2,强,59
2020/12/1,-3,3,62,东北风,1,中等,62
2020/12/2,-4,3,35,北风,3,最弱,19
2020/12/3,-3,4,35,西北风,3,强,16
2020/12/4,-2,1,34,西北风,3,强,19
2020/12/5,-4,5,39,西北风,1,强,70
2020/12/6,-3,6,30,北风,3,强,32
2020/12/7,-7,1,26,西北风,3,强,18
2020/12/8,-5,3,39,西北风,1,强,87
2020/12/9,-5,2,65,西北风,1,最弱,89
2020/12/10,-4,8,54,西北风,1,强,116
2020/12/11,-4,6,63,北风,2,强,56
2020/12/12,-4,3,43,北风,2,强,58
2020/12/13,-7,-2,26,西北风,4,强,17
2020/12/14,-8,0,36,西北风,3,强,18
2020/12/15,-8,0,35,北风,1,弱,36
2020/12/16,-7,2,35,北风,2,强,61
2020/12/17,-4,2,48,北风,2,中等,72
2020/12/18,-9,0,33,北风,3,强,29
2020/12/19,-6,3,51,北风,1,强,76
2020/12/20,-6,5,53,北风,2,强,81
2020/12/21,-6,6,63,北风,1,强,109
2020/12/22,-4,1,57,北风,1,强,147
2020/12/23,-1,4,24,西北风,3,强,62
2020/12/24,-4,2,39,西北风,3,强,60
2020/12/25,-4,3,54,北风,1,强,77
2020/12/26,-3,1,76,东北风,1,强,84
2020/12/27,-2,2,81,北风,1,中等,151
2020/12/28,-10,2,26,东北风,2,最弱,88
2020/12/29,-12,-8,24,西北风,4,强,34
2020/12/30,-11,-6,25,西北风,4,强,32
2020/12/31,-10,1,37,西北风,2,强,45
2021/1/1,-11,0,45,东北风,2,强,60
2021/1/2,-9,0,41,东北风,2,强,14
2021/1/3,-7,0,36,东北风,2,最弱,32
2021/1/4,-11,-1,24,北风,3,中等,20
2021/1/5,-11,-2,29,西北风,3,强,49
2021/1/6,-19,0,19,西北风,4,强,46
2021/1/7,-14,-7,26,西北风,3,强,39
2021/1/8,-10,-2,25,西北风,3,强,39
2021/1/9,-8,1,27,西北风,2,强,33
2021/1/10,-7,1,28,北风,2,强,38
2021/1/11,-8,2,28,西北风,2,强,57
2021/1/12,-6,4,39,北风,1,强,124
2021/1/13,-6,9,78,北风,2,强,199
2021/1/14,-4,2,74,东北风,2,最弱,87
2021/1/15,-8,3,28,北风,3,强,20
2021/1/16,-8,0,22,西北风,3,强,24
2021/1/17,-7,3,35,西风,2,强,52
2021/1/18,-6,4,72,东北风,2,强,67
2021/1/19,-8,-3,65,东北风,2,最弱,51
2021/1/20,-5,1,67,北风,1,强,94
2021/1/21,-5,5,56,西北风,1,中等,139
2021/1/22,-7,5,53,东北风,1,强,52
2021/1/23,-6,3,72,西南风,1,最弱,100
2021/1/24,-5,5,63,北风,1,强,114
2021/1/25,-6,1,93,西北风,1,最弱,177
2021/1/26,-7,6,75,西北风,2,强,122
2021/1/27,-6,3,24,北风,2,最弱,54
2021/1/28,-9,-1,21,西北风,4,强,20
2021/1/29,-8,0,40,东风,1,强,51
2021/1/30,-7,7,30,西风,3,最弱,68
2021/1/31,-5,0,80,东北风,1,强,117
2021/2/1,-8,3,19,西北风,3,强,57
2021/2/2,-9,0,33,西风,3,强,51
2021/2/3,-6,7,30,西北风,3,强,21
2021/2/4,-5,10,33,西南风,2,强,62
2021/2/5,-1,15,28,西北风,1,强,64
2021/2/6,-1,16,47,北风,2,强,147
2021/2/7,-4,7,34,北风,2,强,15
2021/2/8,-5,8,51,东南风,1,强,77
2021/2/9,-3,10,54,西北风,1,强,112
2021/2/10,-3,15,47,北风,1,强,158
2021/2/11,0,10,68,北风,1,中等,266
2021/2/12,1,14,70,北风,2,强,230
2021/2/13,2,8,92,东北风,1,最弱,220
2021/2/14,-4,4,35,东北风,2,最弱,23
2021/2/15,-2,5,81,西风,3,强,59
2021/2/16,-6,0,22,北风,4,强,26
2021/2/17,-6,2,25,北风,3,强,34
2021/2/18,-4,6,44,北风,1,强,105
2021/2/19,-2,16,44,西北风,1,弱,60
2021/2/20,4,20,34,西北风,1,弱,80
2021/2/21,4,25,21,西北风,2,最弱,90
2021/2/22,1,12,63,东北风,3,强,60
2021/2/23,-2,3,66,东南风,3,最弱,47
2021/2/24,-2,4,58,东风,1,最弱,57
2021/2/25,-2,7,78,东北风,1,强,140
2021/2/26,-2,11,55,南风,1,强,190
2021/2/27,2,11,55,南风,2,强,119
2021/2/28,1,5,95,东风,2,最弱,49
2021/3/1,-6,5,75,南风,2,最弱,43
2021/3/2,-2,4,80,南风,2,强,137
2021/3/3,2,6,83,东北风,1,弱,196
2021/3/4,2,11,92,东北风,1,中等,188
2021/3/5,-2,9,45,东风,3,最弱,47
2021/3/6,-5,4,51,南风,2,最弱,52
2021/3/7,-2,8,50,南风,2,强,91
2021/3/8,1,10,65,南风,1,最弱,127
2021/3/9,3,15,75,北风,1,强,231
2021/3/10,8,16,64,南风,2,弱,164
2021/3/11,7,17,56,南风,2,最弱,129
2021/3/12,6,10,88,南风,2,最弱,163
2021/3/13,8,14,69,南风,1,弱,181
2021/3/14,9,13,78,南风,2,最弱,99
2021/3/15,2,12,14,西北风,3,弱,372
2021/3/16,3,15,31,北风,2,强,195
2021/3/17,6,13,59,东南风,2,中等,183
2021/3/18,3,8,70,东南风,2,最弱,81
2021/3/19,5,10,91,南风,2,弱,75
2021/3/20,3,13,22,西北风,3,强,27
2021/3/21,1,12,24,西北风,3,强,36
2021/3/22,5,19,24,西风,2,强,186
2021/3/23,8,23,29,西南风,2,强,80
2021/3/24,6,21,24,东北风,2,强,64
2021/3/25,11,21,32,南风,2,弱,111
2021/3/26,10,14,94,南风,2,最弱,232
2021/3/27,10,18,86,南风,2,最弱,142
2021/3/28,8,18,13,西北风,4,弱,144
2021/3/29,6,19,38,西北风,2,最弱,117
2021/3/30,9,21,41,西南风,2,最弱,168
2021/3/31,10,24,38,东北风,2,强,92
2021/4/1,13,18,41,东南风,2,最弱,89
2021/4/2,10,16,69,东南风,2,最弱,59
2021/4/3,7,18,43,东北风,3,中等,41
2021/4/4,7,20,22,西南风,2,最弱,56
2021/4/5,7,18,38,西南风,3,最弱,47
2021/4/6,10,21,39,西南风,2,最弱,70
2021/4/7,5,19,29,东南风,3,强,27
2021/4/8,10,19,43,南风,2,强,111
2021/4/9,6,17,28,东风,2,中等,67
2021/4/10,13,19,39,南风,2,最弱,122
2021/4/11,8,20,62,南风,3,最弱,66
2021/4/12,8,17,27,北风,3,最弱,42
2021/4/13,8,16,27,西北风,3,强,59
2021/4/14,10,21,22,西南风,2,强,83
2021/4/15,9,20,19,西风,3,强,152
2021/4/16,9,16,12,西北风,3,最弱,59
2021/4/17,5,20,25,西北风,3,强,56
2021/4/18,10,24,33,西南风,2,强,85
2021/4/19,15,28,44,南风,2,最弱,94
2021/4/20,13,26,32,南风,3,中等,55
2021/4/21,12,21,64,南风,3,最弱,71
2021/4/22,9,16,75,东风,2,最弱,35
2021/4/23,13,21,63,东风,2,中等,29
2021/4/24,14,19,50,东风,2,最弱,32
2021/4/25,10,20,38,南风,2,最弱,56
2021/4/26,9,21,49,南风,3,弱,57
2021/4/27,11,21,17,西北风,3,中等,20
2021/4/28,11,22,24,西南风,3,中等,59
2021/4/29,8,13,37,西北风,3,弱,17
2021/4/30,7,14,37,西风,2,最弱,23
2021/5/1,8,20,11,北风,3,中等,7
2021/5/2,12,20,33,南风,3,弱,51
2021/5/3,12,24,41,南风,3,强,69
2021/5/4,10,21,13,西北风,3,强,14
2021/5/5,15,27,8,西南风,3,强,34
2021/5/6,14,19,26,西风,4,强,488
2021/5/7,16,25,12,西风,4,强,27
2021/5/8,12,25,15,北风,3,中等,10
2021/5/9,13,25,21,东南风,2,最弱,20
2021/5/10,14,23,52,东南风,3,最弱,28
2021/5/11,13,24,48,东南风,3,最弱,33
2021/5/12,16,26,37,东风,2,中等,30
2021/5/13,17,22,60,东南风,2,中等,59
2021/5/14,18,20,77,东南风,3,弱,55
2021/5/15,16,21,47,北风,3,最弱,6
2021/5/16,14,25,19,西北风,3,最弱,7
2021/5/17,16,30,12,西风,2,强,15
2021/5/18,19,32,13,西南风,2,中等,31
2021/5/19,20,30,50,西南风,3,最弱,63
2021/5/20,16,27,29,南风,2,最弱,43
2021/5/21,19,30,36,西南风,2,强,61
2021/5/22,18,32,30,西南风,3,弱,38
2021/5/23,15,26,14,西北风,4,强,54
2021/5/24,13,24,18,西北风,3,最弱,13
2021/5/25,16,27,15,西南风,3,强,42
2021/5/26,15,26,44,北风,2,弱,19
2021/5/27,17,28,31,西北风,3,最弱,24
2021/5/28,17,27,14,西北风,3,强,6
2021/5/29,16,27,29,东风,3,强,20
2021/5/30,15,27,26,南风,2,强,28
2021/5/31,16,20,40,东风,2,最弱,36
2021/6/1,17,28,36,东南风,3,强,14
2021/6/2,15,26,26,北风,2,最弱,19
2021/6/3,14,29,14,西北风,3,强,5
2021/6/4,17,29,24,西北风,3,强,11
2021/6/5,17,33,28,西北风,2,强,29
2021/6/6,20,33,44,东风,2,最弱,55
2021/6/7,20,28,73,东风,3,最弱,41
2021/6/8,21,28,70,东风,2,最弱,64
2021/6/9,19,25,87,北风,3,最弱,22
2021/6/10,18,32,46,西风,2,强,40
2021/6/11,19,35,28,西南风,2,最弱,31
2021/6/12,23,35,61,南风,2,最弱,100
2021/6/13,23,34,82,南风,2,最弱,36
2021/6/14,22,28,63,东风,2,最弱,34
2021/6/15,20,32,61,东南风,2,最弱,55
2021/6/16,20,20,89,东南风,2,最弱,30
2021/6/17,19,32,52,西北风,3,强,43
2021/6/18,19,34,19,西北风,3,弱,24
2021/6/19,20,35,21,西北风,3,强,37
2021/6/20,23,34,65,西南风,2,强,31
2021/6/21,22,35,38,东风,3,强,48
2021/6/22,21,32,39,南风,2,强,34
2021/6/23,22,23,57,东南风,2,最弱,20
2021/6/24,20,27,57,南风,2,最弱,35
2021/6/25,22,28,68,东南风,2,最弱,65
2021/6/26,22,27,77,东北风,2,强,46
2021/6/27,22,33,53,东风,2,强,45
2021/6/28,22,30,70,东南风,2,中等,70
2021/6/29,22,27,84,东南风,2,最弱,28
2021/6/30,23,29,67,西风,1,强,25
2021/7/1,19,29,78,西南风,2,最弱,14
2021/7/2,19,30,69,南风,2,最弱,53
2021/7/3,17,25,82,东南风,2,强,19
2021/7/4,23,35,69,东南风,2,最弱,40
2021/7/5,20,31,91,东南风,2,强,18
2021/7/6,22,29,74,南风,2,强,44
2021/7/7,23,32,68,东风,2,强,33
2021/7/8,22,34,79,西北风,2,强,44
2021/7/9,23,32,70,东风,2,弱,64
2021/7/10,23,31,72,东南风,2,最弱,56
2021/7/11,23,26,91,东北风,2,最弱,10
2021/7/12,22,25,96,东风,3,最弱,13
2021/7/13,24,31,82,北风,2,强,23
2021/7/14,24,30,86,东风,2,最弱,39
2021/7/15,24,32,80,东风,2,弱,41
2021/7/16,24,30,87,东风,2,最弱,29
2021/7/17,23,29,82,东风,2,最弱,23
2021/7/18,22,29,18,东北风,3,最弱,8
2021/7/19,24,30,89,东南风,2,最弱,35
2021/7/20,23,30,73,东南风,2,最弱,39
2021/7/21,23,28,87,南风,2,最弱,44
2021/7/22,23,28,90,东南风,1,最弱,23
2021/7/23,27,32,85,西风,4,最弱,14
2021/7/24,24,32,67,南风,2,中等,43
2021/7/25,24,33,69,南风,3,弱,57
2021/7/26,25,31,83,南风,2,最弱,49
2021/7/27,23,36,15,西风,3,中等,8
2021/7/28,23,32,14,东风,3,弱,8
2021/7/29,22,26,90,北风,2,最弱,18
2021/7/30,22,30,86,北风,2,最弱,16
2021/7/31,23,34,72,东北风,2,强,36
2021/8/1,22,32,50,北风,3,强,18
2021/8/2,23,32,66,东北风,2,强,20
2021/8/3,24,31,66,南风,2,最弱,40
2021/8/4,26,34,13,南风,2,最弱,8
2021/8/5,23,32,68,东南风,2,中等,26
2021/8/6,22,33,75,南风,2,强,57
2021/8/7,23,33,69,东南风,2,最弱,63
2021/8/8,23,32,78,南风,2,最弱,44
2021/8/9,22,30,83,东风,2,强,35
2021/8/10,23,33,73,东南风,2,强,38
2021/8/11,23,30,83,东风,2,最弱,31
